Document;Tablet;Passage;Type;Published;Checked;Chronology;Typology;Notes
Archi1979a;75.10080;?.XIII:12;GN;No;Yes;;;
Archi1979a;75.10134;rev.II:7-12;Quote, Translation;No;Yes;;;
Archi1979a;75.10141;obv:VI:2;PN;No;Yes;;;
Archi1979a;75.11550;?.III:2;GN;No;Yes;;;
Archi1979a;75.1274;obv.IX:4;PN;A I 13;Yes;;;
Archi1979a;75.1365;obv.II:9;PN;A XV 13;Yes;ArruLUM;MAT;
Archi1979a;75.1401;obv.III:4-6;PN;A XV 17;Yes;ArruLUM;MAT;
Archi1979a;75.1413;obv.III:2-?;Quote;No;Yes;;;
Archi1979a;75.1474;;Mention;A II 20;Yes;;;
Archi1979a;75.1480;obv.III:11;Quote, Translation;A II 23;Yes;;;
Archi1979a;75.1549;;Mention;A II 25;Yes;;;
Archi1979a;75.1643;obv.III:11;PN;M 7 14;Yes;;;
Archi1979a;75.1654;obv.I:1-?;Quote;No;Yes;;;
Archi1979a;75.1682;;Mention;A V 24;Yes;;Incantation;
Archi1979a;75.1743;obv.VIII:3;PN;A XX 9;Yes;;MAT;
Archi1979a;75.1761;obv.VIII:9;PN;No;Yes;;;
Archi1979a;75.1770;rev.VI:1;PN;A XX 6;Yes;;MAT;
Archi1979a;75.1837;rev.VI:9;PN;No;Yes;;;
Archi1979a;75.1868;obv.IX:6;PN;A VI 22;Yes;;MAT;
Archi1979a;75.1992;rev.II:2;GN;No;Yes;;;
Archi1979a;75.2136;?.VI:1;GN;EST 081;Yes;;;
Archi1979a;75.2166;rev.II:8;DN;No;Yes;;;
Archi1979a;75.2231;obv.IV:2;Mention;EST 082;Yes;;;
Archi1979a;75.2342;?.III:5;Other;A XIII 3;Yes;;Chancery;
Archi1979a;75.2374;rev.III:4, IX:2;PN;No;Yes;;;
Archi1979a;75.2399;obv:VII:8, rev.V:2;PN;A XX 2;Yes;;MAT;
Archi1979a;75.2403;rev.IX:12-15;Quote, Translation;No;Yes;;;
Archi1979a;75.2420;Unknown;PN;A XIII 5;Yes;;Chancery;
Archi1979a;75.2447;rev.V:4-8;Quote;No;Yes;;;
Archi1979a;75.2450;obv.III:4, rev.VI:2;PN;No;Yes;;;
Archi1979a;75.2479;Unknown;PN;No;Yes;;;
Archi1979a;75.2490;rev.IV:16-18;Quote;No;Yes;;;
Archi1979a;75.2500;;Mention;A V 26;Yes;;Incantation;
Archi1979a;75.2508;rev.XI:15;DN;M 12 37;Yes;;AAM;
Archi1979a;75.2594;obv.VII:16-19;Quote, Translation;No;Yes;;;
Archi1979a;75.3186;?.I:2;GN;A III 159;Yes;;MAT?;
Archi1979a;75.3213;?.II:4;GN;A III 183;Yes;;MAT?;
Archi1979b;75.522;Unknown;;No;No;;;
Archi1979b;75.1357;Unknown;;No;No;;;
Archi1979b;75.522;Unknown;;No;No;;;
Archi1979b;75.133712;Unknown;;No;No;;;
Archi1979b;75.1374;Unknown;;No;No;;;
Archi1979b;.75.2119;Unknown;;No;No;;;
Archi1979b;75.1353;Unknown;;No;No;;;
Archi1979b;75.1348;Unknown;;No;No;;;
Archi1979d;75.1464;Quote;;No;Yes;;;
Archi1979d;75.1364;Unknown;;No;No;;;
Archi1979d;75.1318;Unknown;;No;No;;;
Archi1979d;75.2327;Unknown;;No;No;;;
Archi1979d;75.1541;Unknown;;No;No;;;
Archi1979d;75.1278;Unknown;;No;No;;;
Archi1979d;75.1383;Unknown;;No;No;;;
Archi1979d;75.1727;Unknown;;No;No;;;
Archi1979d;75.11934;Unknown;;No;No;;;
Archi1979d;75.2377;Unknown;;No;No;;;
Archi1979d;75.2379;Unknown;;No;No;;;
Archi1979d;75.1256;Unknown;;No;No;;;
Archi1979d;75.11698;Unknown;;No;No;;;
Archi1979d;75.2468;Unknown;;No;No;;;
Archi1979d;75.2407;Unknown;;No;No;;;
Archi1979d;75.1726;Unknown;;No;No;;;
Archi1979d;75.2022;Unknown;;No;No;;;
Archi1979d;75.2359;Unknown;;No;No;;;
Archi1979d;75.2525;Unknown;;No;No;;;
Archi1979d;75k339;Unknown;;No;No;;;
Archi1979d;75.2402;Unknown;;No;No;;;
Archi1979d;75.1228;Unknown;;No;No;;;
Archi1979d;75.1340;Unknown;;No;No;;;
Archi1979d;75.;Unknown;;No;No;;;
Archi1979d;75.2401;Unknown;;No;No;;;
Archi1979d;75.2490;Unknown;;No;No;;;
Archi1979d;75.1238;Unknown;;No;No;;;
Archi1979d;75.;Unknown;;No;No;;;
Archi1979d;75.1261;Unknown;;No;No;;;
Archi1979d;75.2341;Unknown;;No;No;;;
Archi1979d;75;Unknown;;No;No;;;
